,index,networkx_function,num_np_calls,np_calls,np_calls_w_args
55,5610,/tests/test_convert_scipy.py_test_selfloop_digraph,4,"['testing.assert_equal', 'array', 'testing.assert_equal', 'array']","['testing.assert_equal(M.toarray(), np.array([[1]]))', 'array([[0, 1, 0], [0, 0, 1], [0, 0, 0]])']"
56,1564,/algorithms/link_analysis/hits_alg.py__hits_numpy,4,"['linalg.eig', 'argmax', 'linalg.eig', 'argmax']","['linalg.eig(H)', 'argmax(e)', 'linalg.eig(A)', 'argmax(e)']"
57,4313,/linalg/laplacianmatrix.py_normalized_laplacian_matrix,4,"['set_printoptions', 'errstate', 'sqrt', 'isinf']","['set_printoptions(precision=4)', 'errstate(divide=""ignore"")', 'sqrt(diags)', 'isinf(diags_sqrt)']"
58,856,/algorithms/centrality/tests/test_trophic.py_test_trophic_incoherence_parameter_cannibalism,4,"['array', 'array', 'array', 'std']","['array([[0, 1], [0, 0]])', 'std([1, 1.5, 0.5, 0.75, 1.25]), abs=1e-7)']"
59,4336,/linalg/tests/test_spectrum.py_test_adjacency_spectrum,4,"['array', 'sqrt', 'sqrt', 'testing.assert_almost_equal']","['array([-np.sqrt(2), 0, np.sqrt(2)])', 'testing.assert_almost_equal(e, evals)']"
60,4587,/utils/tests/test_misc.py_test_numpy_to_list_of_ints,4,"['array', 'int64', 'array', 'array']","['array([1, 2, 3], dtype=np.int64)', 'array([1.0, 2, 3])', 'array([1.1, 2, 3])']"
61,4337,/linalg/tests/test_spectrum.py_test_modularity_spectrum,4,"['array', 'testing.assert_almost_equal', 'array', 'testing.assert_almost_equal']","['array([-1.5, 0.0, 0.0])', 'testing.assert_almost_equal(e, evals)', 'array([-0.5, 0.0, 0.0])', 'testing.assert_almost_equal(e, evals)']"
62,1942,/algorithms/assortativity/correlation.py__numeric_ac,4,"['array', 'outer', 'outer', 'sqrt']","['array(list(mapping.keys()))', 'outer(x, y)', 'outer(a[idx], b[idx])', 'sqrt(vara * varb)']"
63,4596,/utils/tests/test_misc.py_test_PythonRandomInterface_RandomState,4,"['random.RandomState', 'all', 'all', 'all']","['all(rng.shuffle([1, 2, 3]) == rs42.shuffle([1, 2, 3]))']"
64,1987,/algorithms/assortativity/tests/test_mixing.py_test_degree_mixing_matrix_selfloop,3,"['array', 'testing.assert_equal', 'testing.assert_equal']","['array([[2]])', 'testing.assert_equal(a, a_result)', 'testing.assert_equal(a, a_result / a_result.sum())']"
