,function_name,np,function_np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
623,masked_equal,numpy.ma.masked_equal,ma.masked_equal,https://numpy.org/doc/stable/reference/generated/numpy.ma.masked_equal.html,,,,False
624,masked_greater,numpy.ma.masked_greater,ma.masked_greater,https://numpy.org/doc/stable/reference/generated/numpy.ma.masked_greater.html,,,,False
625,masked_greater_equal,numpy.ma.masked_greater_equal,ma.masked_greater_equal,https://numpy.org/doc/stable/reference/generated/numpy.ma.masked_greater_equal.html,,,,False
626,masked_inside,numpy.ma.masked_inside,ma.masked_inside,https://numpy.org/doc/stable/reference/generated/numpy.ma.masked_inside.html,,,,False
627,masked_invalid,numpy.ma.masked_invalid,ma.masked_invalid,https://numpy.org/doc/stable/reference/generated/numpy.ma.masked_invalid.html,,,,False
628,masked_less,numpy.ma.masked_less,ma.masked_less,https://numpy.org/doc/stable/reference/generated/numpy.ma.masked_less.html,,,,False
629,masked_less_equal,numpy.ma.masked_less_equal,ma.masked_less_equal,https://numpy.org/doc/stable/reference/generated/numpy.ma.masked_less_equal.html,,,,False
630,masked_not_equal,numpy.ma.masked_not_equal,ma.masked_not_equal,https://numpy.org/doc/stable/reference/generated/numpy.ma.masked_not_equal.html,,,,False
631,masked_object,numpy.ma.masked_object,ma.masked_object,https://numpy.org/doc/stable/reference/generated/numpy.ma.masked_object.html,,,,False
632,masked_outside,numpy.ma.masked_outside,ma.masked_outside,https://numpy.org/doc/stable/reference/generated/numpy.ma.masked_outside.html,,,,False
633,masked_values,numpy.ma.masked_values,ma.masked_values,https://numpy.org/doc/stable/reference/generated/numpy.ma.masked_values.html,,,,False
634,masked_where,numpy.ma.masked_where,ma.masked_where,https://numpy.org/doc/stable/reference/generated/numpy.ma.masked_where.html,,,,False
635,flatten,numpy.ma.MaskedArray.flatten,ma.MaskedArray.flatten,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.flatten.html,,,,False
636,flatten,numpy.matrix.flatten,matrix.flatten,https://numpy.org/doc/stable/reference/generated/numpy.matrix.flatten.html,,,,False
637,flatten,numpy.ndarray.flatten,ndarray.flatten,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.flatten.html,,,,False
638,get_fill_value,numpy.ma.MaskedArray.get_fill_value,ma.MaskedArray.get_fill_value,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.get_fill_value.html,,,,False
639,max,numpy.ma.MaskedArray.max,ma.MaskedArray.max,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.max.html,arkouda.pdarrayclass.max,pdarrayclass.max,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.max,True
