,np,function,function_name,numpy_api_link
220,numpy.exceptions.AxisError,exceptions.AxisError,AxisError,https://numpy.org/doc/stable/reference/generated/numpy.exceptions.AxisError.html
221,numpy.exceptions.ComplexWarning,exceptions.ComplexWarning,ComplexWarning,https://numpy.org/doc/stable/reference/generated/numpy.exceptions.ComplexWarning.html
222,numpy.exceptions.DTypePromotionError,exceptions.DTypePromotionError,DTypePromotionError,https://numpy.org/doc/stable/reference/generated/numpy.exceptions.DTypePromotionError.html
223,numpy.exceptions.TooHardError,exceptions.TooHardError,TooHardError,https://numpy.org/doc/stable/reference/generated/numpy.exceptions.TooHardError.html
224,numpy.exceptions.VisibleDeprecationWarning,exceptions.VisibleDeprecationWarning,VisibleDeprecationWarning,https://numpy.org/doc/stable/reference/generated/numpy.exceptions.VisibleDeprecationWarning.html
225,numpy.exp,exp,exp,https://numpy.org/doc/stable/reference/generated/numpy.exp.html
226,numpy.exp2,exp2,exp2,https://numpy.org/doc/stable/reference/generated/numpy.exp2.html
227,numpy.expand_dims,expand_dims,expand_dims,https://numpy.org/doc/stable/reference/generated/numpy.expand_dims.html
228,numpy.expm1,expm1,expm1,https://numpy.org/doc/stable/reference/generated/numpy.expm1.html
229,numpy.extract,extract,extract,https://numpy.org/doc/stable/reference/generated/numpy.extract.html
230,numpy.eye,eye,eye,https://numpy.org/doc/stable/reference/generated/numpy.eye.html
231,numpy.fabs,fabs,fabs,https://numpy.org/doc/stable/reference/generated/numpy.fabs.html
232,numpy.fft.fft,fft.fft,fft,https://numpy.org/doc/stable/reference/generated/numpy.fft.fft.html
233,numpy.fft.fft2,fft.fft2,fft2,https://numpy.org/doc/stable/reference/generated/numpy.fft.fft2.html
234,numpy.fft.fftfreq,fft.fftfreq,fftfreq,https://numpy.org/doc/stable/reference/generated/numpy.fft.fftfreq.html
235,numpy.fft.fftn,fft.fftn,fftn,https://numpy.org/doc/stable/reference/generated/numpy.fft.fftn.html
236,numpy.fft.fftshift,fft.fftshift,fftshift,https://numpy.org/doc/stable/reference/generated/numpy.fft.fftshift.html
237,numpy.fft.hfft,fft.hfft,hfft,https://numpy.org/doc/stable/reference/generated/numpy.fft.hfft.html
238,numpy.fft.ifft,fft.ifft,ifft,https://numpy.org/doc/stable/reference/generated/numpy.fft.ifft.html
239,numpy.fft.ifft2,fft.ifft2,ifft2,https://numpy.org/doc/stable/reference/generated/numpy.fft.ifft2.html
240,numpy.fft.ifftn,fft.ifftn,ifftn,https://numpy.org/doc/stable/reference/generated/numpy.fft.ifftn.html
241,numpy.fft.ifftshift,fft.ifftshift,ifftshift,https://numpy.org/doc/stable/reference/generated/numpy.fft.ifftshift.html
242,numpy.fft.ihfft,fft.ihfft,ihfft,https://numpy.org/doc/stable/reference/generated/numpy.fft.ihfft.html
243,numpy.fft.irfft,fft.irfft,irfft,https://numpy.org/doc/stable/reference/generated/numpy.fft.irfft.html
244,numpy.fft.irfft2,fft.irfft2,irfft2,https://numpy.org/doc/stable/reference/generated/numpy.fft.irfft2.html
245,numpy.fft.irfftn,fft.irfftn,irfftn,https://numpy.org/doc/stable/reference/generated/numpy.fft.irfftn.html
246,numpy.fft.rfft,fft.rfft,rfft,https://numpy.org/doc/stable/reference/generated/numpy.fft.rfft.html
247,numpy.fft.rfft2,fft.rfft2,rfft2,https://numpy.org/doc/stable/reference/generated/numpy.fft.rfft2.html
248,numpy.fft.rfftfreq,fft.rfftfreq,rfftfreq,https://numpy.org/doc/stable/reference/generated/numpy.fft.rfftfreq.html
249,numpy.fft.rfftn,fft.rfftn,rfftn,https://numpy.org/doc/stable/reference/generated/numpy.fft.rfftn.html
250,numpy.fill_diagonal,fill_diagonal,fill_diagonal,https://numpy.org/doc/stable/reference/generated/numpy.fill_diagonal.html
251,numpy.find_common_type,find_common_type,find_common_type,https://numpy.org/doc/stable/reference/generated/numpy.find_common_type.html
252,numpy.finfo,finfo,finfo,https://numpy.org/doc/stable/reference/generated/numpy.finfo.html
253,numpy.fix,fix,fix,https://numpy.org/doc/stable/reference/generated/numpy.fix.html
254,numpy.flatiter,flatiter,flatiter,https://numpy.org/doc/stable/reference/generated/numpy.flatiter.html
255,numpy.flatnonzero,flatnonzero,flatnonzero,https://numpy.org/doc/stable/reference/generated/numpy.flatnonzero.html
256,numpy.flip,flip,flip,https://numpy.org/doc/stable/reference/generated/numpy.flip.html
257,numpy.fliplr,fliplr,fliplr,https://numpy.org/doc/stable/reference/generated/numpy.fliplr.html
258,numpy.flipud,flipud,flipud,https://numpy.org/doc/stable/reference/generated/numpy.flipud.html
259,numpy.float_,float_,float_,https://numpy.org/doc/stable/reference/generated/numpy.float_.html
260,numpy.float_power,float_power,float_power,https://numpy.org/doc/stable/reference/generated/numpy.float_power.html
261,numpy.float128,float128,float128,https://numpy.org/doc/stable/reference/generated/numpy.float128.html
262,numpy.float16,float16,float16,https://numpy.org/doc/stable/reference/generated/numpy.float16.html
263,numpy.float32,float32,float32,https://numpy.org/doc/stable/reference/generated/numpy.float32.html
264,numpy.float64,float64,float64,https://numpy.org/doc/stable/reference/generated/numpy.float64.html
265,numpy.float96,float96,float96,https://numpy.org/doc/stable/reference/generated/numpy.float96.html
266,numpy.floating,floating,floating,https://numpy.org/doc/stable/reference/generated/numpy.floating.html
