networkx_function,coverage,np_calls_count,partial_ak_coverage_sum,np_calls_array,function_ak_array
/algorithms/approximation/tests/test_traveling_salesman.py_test_simulated_annealing_directed,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_simulated_annealing_undirected,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_spanning_tree_distribution,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_test_two_nodes,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_validate_solution,1.0,0,0,[],[]
/algorithms/approximation/tests/test_traveling_salesman.py_validate_symmetric_solution,1.0,0,0,[],[]
/algorithms/approximation/tests/test_treewidth.py_is_tree_decomp,1.0,0,0,[],[]
/algorithms/approximation/tests/test_treewidth.py_setup_class,1.0,0,0,[],[]
/algorithms/approximation/tests/test_treewidth.py_test_empty_graph,1.0,0,0,[],[]
/algorithms/approximation/tests/test_treewidth.py_test_heuristic_abort,1.0,0,0,[],[]
/algorithms/approximation/tests/test_treewidth.py_test_heuristic_first_steps,1.0,0,0,[],[]
/algorithms/approximation/tests/test_treewidth.py_test_not_sortable_nodes,1.0,0,0,[],[]
/algorithms/approximation/tests/test_treewidth.py_test_petersen_graph,1.0,0,0,[],[]
/algorithms/approximation/tests/test_treewidth.py_test_small_tree_treewidth,1.0,0,0,[],[]
/algorithms/approximation/tests/test_treewidth.py_test_two_component_graph,1.0,0,0,[],[]
/algorithms/approximation/tests/test_vertex_cover.py_is_cover,1.0,0,0,[],[]
/algorithms/approximation/tests/test_vertex_cover.py_test_unweighted_directed,1.0,0,0,[],[]
/algorithms/approximation/tests/test_vertex_cover.py_test_unweighted_self_loop,1.0,0,0,[],[]
/algorithms/approximation/tests/test_vertex_cover.py_test_unweighted_undirected,1.0,0,0,[],[]
/algorithms/approximation/tests/test_vertex_cover.py_test_weighted,1.0,0,0,[],[]
/algorithms/approximation/traveling_salesman.py__shortcutting,1.0,0,0,[],[]
/algorithms/approximation/traveling_salesman.py_christofides,1.0,0,0,[],[]
/algorithms/approximation/traveling_salesman.py_direction_of_ascent,1.0,5,5,['full' 'zeros' 'empty' 'zeros' 'full'],"['array_api._creation_functions.full' 'pdarraycreation.zeros'
 'array_api._creation_functions.empty'
 'array_api._creation_functions.zeros' 'pdarraycreation.full']"
/algorithms/approximation/traveling_salesman.py_find_epsilon,1.0,0,0,[],[]
/algorithms/approximation/traveling_salesman.py_held_karp_ascent,1.0,0,0,[],[]
/algorithms/approximation/traveling_salesman.py_move_one_node,1.0,0,0,[],[]
