,index,function_np,total_np_calls,num_networkx_funs_used_by,used_by_networkx,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
386,735,diag_indices_from,,,,diag_indices_from,numpy.diag_indices_from,https://numpy.org/doc/stable/reference/generated/numpy.diag_indices_from.html,,,,False
387,736,diagflat,,,,diagflat,numpy.diagflat,https://numpy.org/doc/stable/reference/generated/numpy.diagflat.html,,,,False
388,737,ma.diagflat,,,,diagflat,numpy.ma.diagflat,https://numpy.org/doc/stable/reference/generated/numpy.ma.diagflat.html,,,,False
389,738,diagonal,,,,diagonal,numpy.diagonal,https://numpy.org/doc/stable/reference/generated/numpy.diagonal.html,,,,False
390,739,matrix.diagonal,,,,diagonal,numpy.matrix.diagonal,https://numpy.org/doc/stable/reference/generated/numpy.matrix.diagonal.html,,,,False
391,740,ndarray.diagonal,,,,diagonal,numpy.ndarray.diagonal,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.diagonal.html,,,,False
392,741,ma.diff,,,,diff,numpy.ma.diff,https://numpy.org/doc/stable/reference/generated/numpy.ma.diff.html,,,,False
393,742,digitize,,,,digitize,numpy.digitize,https://numpy.org/doc/stable/reference/generated/numpy.digitize.html,,,,False
394,743,disp,,,,disp,numpy.disp,https://numpy.org/doc/stable/reference/generated/numpy.disp.html,,,,False
395,744,distutils.ccompiler,,,,ccompiler,numpy.distutils.ccompiler,https://numpy.org/doc/stable/reference/generated/numpy.distutils.ccompiler.html,,,,False
396,745,distutils.ccompiler_opt,,,,ccompiler_opt,numpy.distutils.ccompiler_opt,https://numpy.org/doc/stable/reference/generated/numpy.distutils.ccompiler_opt.html,,,,False
397,746,distutils.core.Extension,,,,Extension,numpy.distutils.core.Extension,https://numpy.org/doc/stable/reference/generated/numpy.distutils.core.Extension.html,,,,False
398,747,distutils.cpuinfo.cpu,,,,cpu,numpy.distutils.cpuinfo.cpu,https://numpy.org/doc/stable/reference/generated/numpy.distutils.cpuinfo.cpu.html,,,,False
399,748,distutils.exec_command,,,,exec_command,numpy.distutils.exec_command,https://numpy.org/doc/stable/reference/generated/numpy.distutils.exec_command.html,,,,False
400,749,distutils.log.set_verbosity,,,,set_verbosity,numpy.distutils.log.set_verbosity,https://numpy.org/doc/stable/reference/generated/numpy.distutils.log.set_verbosity.html,,,,False
401,750,distutils.system_info.get_info,,,,get_info,numpy.distutils.system_info.get_info,https://numpy.org/doc/stable/reference/generated/numpy.distutils.system_info.get_info.html,,,,False
402,751,distutils.system_info.get_standard_file,,,,get_standard_file,numpy.distutils.system_info.get_standard_file,https://numpy.org/doc/stable/reference/generated/numpy.distutils.system_info.get_standard_file.html,,,,False
403,752,divide,,,,divide,numpy.divide,https://numpy.org/doc/stable/reference/generated/numpy.divide.html,arkouda.array_api._elementwise_functions.divide,array_api._elementwise_functions.divide,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.divide,True
404,753,divmod,,,,divmod,numpy.divmod,https://numpy.org/doc/stable/reference/generated/numpy.divmod.html,arkouda.pdarrayclass.divmod,pdarrayclass.divmod,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.divmod,True
405,754,ma.dot,,,,dot,numpy.ma.dot,https://numpy.org/doc/stable/reference/generated/numpy.ma.dot.html,,,,False
406,755,double,,,,double,numpy.double,https://numpy.org/doc/stable/reference/generated/numpy.double.html,,,,False
407,756,dsplit,,,,dsplit,numpy.dsplit,https://numpy.org/doc/stable/reference/generated/numpy.dsplit.html,,,,False
408,757,dstack,,,,dstack,numpy.dstack,https://numpy.org/doc/stable/reference/generated/numpy.dstack.html,,,,False
409,758,ma.dstack,,,,dstack,numpy.ma.dstack,https://numpy.org/doc/stable/reference/generated/numpy.ma.dstack.html,,,,False
410,759,generic.dtype,,,,dtype,numpy.generic.dtype,https://numpy.org/doc/stable/reference/generated/numpy.generic.dtype.html,arkouda.dtypes.dtype,dtypes.dtype,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.dtypes.dtype,True
411,760,e,,,,e,numpy.e,https://numpy.org/doc/stable/reference/generated/numpy.e.html,,,,False
412,761,ediff1d,,,,ediff1d,numpy.ediff1d,https://numpy.org/doc/stable/reference/generated/numpy.ediff1d.html,,,,False
413,762,ma.ediff1d,,,,ediff1d,numpy.ma.ediff1d,https://numpy.org/doc/stable/reference/generated/numpy.ma.ediff1d.html,,,,False
414,763,einsum_path,,,,einsum_path,numpy.einsum_path,https://numpy.org/doc/stable/reference/generated/numpy.einsum_path.html,,,,False
415,764,emath.log,,,,log,numpy.emath.log,https://numpy.org/doc/stable/reference/generated/numpy.emath.log.html,arkouda.numeric.log,numeric.log,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.log,True
416,765,emath.log,,,,log,numpy.emath.log,https://numpy.org/doc/stable/reference/generated/numpy.emath.log.html,arkouda.array_api._elementwise_functions.log,array_api._elementwise_functions.log,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.log,True
417,766,log,,,,log,numpy.log,https://numpy.org/doc/stable/reference/generated/numpy.log.html,arkouda.numeric.log,numeric.log,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.log,True
418,767,log,,,,log,numpy.log,https://numpy.org/doc/stable/reference/generated/numpy.log.html,arkouda.array_api._elementwise_functions.log,array_api._elementwise_functions.log,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.log,True
419,768,emath.log10,,,,log10,numpy.emath.log10,https://numpy.org/doc/stable/reference/generated/numpy.emath.log10.html,arkouda.numeric.log10,numeric.log10,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.log10,True
420,769,emath.log10,,,,log10,numpy.emath.log10,https://numpy.org/doc/stable/reference/generated/numpy.emath.log10.html,arkouda.array_api._elementwise_functions.log10,array_api._elementwise_functions.log10,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.log10,True
421,770,log10,,,,log10,numpy.log10,https://numpy.org/doc/stable/reference/generated/numpy.log10.html,arkouda.numeric.log10,numeric.log10,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.log10,True
422,771,log10,,,,log10,numpy.log10,https://numpy.org/doc/stable/reference/generated/numpy.log10.html,arkouda.array_api._elementwise_functions.log10,array_api._elementwise_functions.log10,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.log10,True
423,772,emath.log2,,,,log2,numpy.emath.log2,https://numpy.org/doc/stable/reference/generated/numpy.emath.log2.html,arkouda.numeric.log2,numeric.log2,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.log2,True
424,773,emath.log2,,,,log2,numpy.emath.log2,https://numpy.org/doc/stable/reference/generated/numpy.emath.log2.html,arkouda.array_api._elementwise_functions.log2,array_api._elementwise_functions.log2,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.log2,True
425,774,log2,,,,log2,numpy.log2,https://numpy.org/doc/stable/reference/generated/numpy.log2.html,arkouda.numeric.log2,numeric.log2,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.log2,True
426,775,log2,,,,log2,numpy.log2,https://numpy.org/doc/stable/reference/generated/numpy.log2.html,arkouda.array_api._elementwise_functions.log2,array_api._elementwise_functions.log2,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.log2,True
427,776,emath.logn,,,,logn,numpy.emath.logn,https://numpy.org/doc/stable/reference/generated/numpy.emath.logn.html,,,,False
428,777,emath.power,,,,power,numpy.emath.power,https://numpy.org/doc/stable/reference/generated/numpy.emath.power.html,arkouda.pdarrayclass.power,pdarrayclass.power,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.power,True
429,778,ma.power,,,,power,numpy.ma.power,https://numpy.org/doc/stable/reference/generated/numpy.ma.power.html,arkouda.pdarrayclass.power,pdarrayclass.power,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.power,True
430,779,power,,,,power,numpy.power,https://numpy.org/doc/stable/reference/generated/numpy.power.html,arkouda.pdarrayclass.power,pdarrayclass.power,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.power,True
431,780,random.Generator.power,,,,power,numpy.random.Generator.power,https://numpy.org/doc/stable/reference/generated/numpy.random.Generator.power.html,arkouda.pdarrayclass.power,pdarrayclass.power,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.power,True
432,781,random.power,,,,power,numpy.random.power,https://numpy.org/doc/stable/reference/generated/numpy.random.power.html,arkouda.pdarrayclass.power,pdarrayclass.power,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.power,True
433,782,random.RandomState.power,,,,power,numpy.random.RandomState.power,https://numpy.org/doc/stable/reference/generated/numpy.random.RandomState.power.html,arkouda.pdarrayclass.power,pdarrayclass.power,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.power,True
