scipy_function,coverage,np_calls_count,partial_ak_coverage_sum,np_calls_array,function_ak_array
/signal/tests/test_savitzky_golay.py_test_sg_filter_interp_edges_3d,1.0,5,5,['linspace' 'ones_like' 'array' 'ones_like' 'linspace'],"['pdarraycreation.linspace' 'array_api._creation_functions.ones_like'
 'pdarraycreation.array' 'pdarraycreation.ones_like'
 'array_api._creation_functions.linspace']"
/signal/tests/test_savitzky_golay.py_test_sg_filter_trivial,1.0,1,1,['array'],['pdarraycreation.array']
/signal/tests/test_savitzky_golay.py_test_sg_filter_valid_window_length_3d,1.0,2,2,['ones' 'ones'],['pdarraycreation.ones' 'array_api._creation_functions.ones']
/signal/tests/test_short_time_fft.py_test__calc_dual_canonical_window_exceptions,1.0,3,3,['ones' 'ones' 'array'],"['array_api._creation_functions.ones' 'pdarraycreation.ones'
 'pdarraycreation.array']"
/signal/tests/test_short_time_fft.py_test__calc_dual_canonical_window_roundtrip,1.0,0,0,[],[]
/signal/tests/test_short_time_fft.py_test_asymmetric_window_roundtrip,0.5,4,2,['arange' 'arange' 'random.seed' 'random.randn'],['pdarraycreation.arange' 'array_api._creation_functions.arange']
/signal/tests/test_short_time_fft.py_test_average_all_segments,0.67,3,2,['random.randn' 'mean' 'mean'],['array_api._statistical_functions.mean' 'pdarrayclass.mean']
/signal/tests/test_short_time_fft.py_test_border_values,1.0,2,2,['ones' 'ones'],['pdarraycreation.ones' 'array_api._creation_functions.ones']
/signal/tests/test_short_time_fft.py_test_border_values_exotic,1.0,2,2,['array' 'flip'],['pdarraycreation.array' 'array_api._manipulation_functions.flip']
/signal/tests/test_short_time_fft.py_test_dual_win_roundtrip,1.0,2,2,['ones' 'ones'],['array_api._creation_functions.ones' 'pdarraycreation.ones']
