,index,function_np,total_np_calls,num_pandas_funs_used_by,used_by_pandas,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
487,836,correlate,,,,correlate,numpy.correlate,https://numpy.org/doc/stable/reference/generated/numpy.correlate.html,,,,False
488,837,cosh,,,,cosh,numpy.cosh,https://numpy.org/doc/stable/reference/generated/numpy.cosh.html,arkouda.numeric.cosh,numeric.cosh,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cosh,True
489,838,cosh,,,,cosh,numpy.cosh,https://numpy.org/doc/stable/reference/generated/numpy.cosh.html,arkouda.array_api._elementwise_functions.cosh,array_api._elementwise_functions.cosh,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.cosh,True
490,839,count_nonzero,,,,count_nonzero,numpy.count_nonzero,https://numpy.org/doc/stable/reference/generated/numpy.count_nonzero.html,,,,False
491,840,ma.cov,,,,cov,numpy.ma.cov,https://numpy.org/doc/stable/reference/generated/numpy.ma.cov.html,arkouda.pdarrayclass.cov,pdarrayclass.cov,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.cov,True
492,841,cross,,,,cross,numpy.cross,https://numpy.org/doc/stable/reference/generated/numpy.cross.html,,,,False
493,842,csingle,,,,csingle,numpy.csingle,https://numpy.org/doc/stable/reference/generated/numpy.csingle.html,,,,False
494,843,ctypeslib.as_array,,,,as_array,numpy.ctypeslib.as_array,https://numpy.org/doc/stable/reference/generated/numpy.ctypeslib.as_array.html,,,,False
495,844,ctypeslib.as_ctypes,,,,as_ctypes,numpy.ctypeslib.as_ctypes,https://numpy.org/doc/stable/reference/generated/numpy.ctypeslib.as_ctypes.html,,,,False
496,845,ctypeslib.as_ctypes_type,,,,as_ctypes_type,numpy.ctypeslib.as_ctypes_type,https://numpy.org/doc/stable/reference/generated/numpy.ctypeslib.as_ctypes_type.html,,,,False
497,846,ma.cumprod,,,,cumprod,numpy.ma.cumprod,https://numpy.org/doc/stable/reference/generated/numpy.ma.cumprod.html,arkouda.numeric.cumprod,numeric.cumprod,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cumprod,True
498,847,ma.MaskedArray.cumprod,,,,cumprod,numpy.ma.MaskedArray.cumprod,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.cumprod.html,arkouda.numeric.cumprod,numeric.cumprod,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cumprod,True
499,848,matrix.cumprod,,,,cumprod,numpy.matrix.cumprod,https://numpy.org/doc/stable/reference/generated/numpy.matrix.cumprod.html,arkouda.numeric.cumprod,numeric.cumprod,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cumprod,True
500,849,ndarray.cumprod,,,,cumprod,numpy.ndarray.cumprod,https://numpy.org/doc/stable/reference/generated/numpy.ndarray.cumprod.html,arkouda.numeric.cumprod,numeric.cumprod,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cumprod,True
501,850,ma.cumsum,,,,cumsum,numpy.ma.cumsum,https://numpy.org/doc/stable/reference/generated/numpy.ma.cumsum.html,arkouda.numeric.cumsum,numeric.cumsum,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cumsum,True
502,851,ma.MaskedArray.cumsum,,,,cumsum,numpy.ma.MaskedArray.cumsum,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.cumsum.html,arkouda.numeric.cumsum,numeric.cumsum,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.cumsum,True
