,index,function_np,total_np_calls,num_statsmodels_funs_used_by,used_by_statsmodels,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
444,793,broadcast,,,,broadcast,numpy.broadcast,https://numpy.org/doc/stable/reference/generated/numpy.broadcast.html,arkouda.groupbyclass.broadcast,groupbyclass.broadcast,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.groupbyclass.broadcast,True
445,794,broadcast_arrays,,,,broadcast_arrays,numpy.broadcast_arrays,https://numpy.org/doc/stable/reference/generated/numpy.broadcast_arrays.html,arkouda.array_api._manipulation_functions.broadcast_arrays,array_api._manipulation_functions.broadcast_arrays,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._manipulation_functions.broadcast_arrays,True
446,795,broadcast_shapes,,,,broadcast_shapes,numpy.broadcast_shapes,https://numpy.org/doc/stable/reference/generated/numpy.broadcast_shapes.html,,,,False
447,796,broadcast_to,,,,broadcast_to,numpy.broadcast_to,https://numpy.org/doc/stable/reference/generated/numpy.broadcast_to.html,arkouda.array_api._manipulation_functions.broadcast_to,array_api._manipulation_functions.broadcast_to,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._manipulation_functions.broadcast_to,True
448,797,busday_count,,,,busday_count,numpy.busday_count,https://numpy.org/doc/stable/reference/generated/numpy.busday_count.html,,,,False
449,798,busday_offset,,,,busday_offset,numpy.busday_offset,https://numpy.org/doc/stable/reference/generated/numpy.busday_offset.html,,,,False
450,799,busdaycalendar,,,,busdaycalendar,numpy.busdaycalendar,https://numpy.org/doc/stable/reference/generated/numpy.busdaycalendar.html,,,,False
451,800,byte,,,,byte,numpy.byte,https://numpy.org/doc/stable/reference/generated/numpy.byte.html,,,,False
452,801,byte_bounds,,,,byte_bounds,numpy.byte_bounds,https://numpy.org/doc/stable/reference/generated/numpy.byte_bounds.html,,,,False
453,802,can_cast,,,,can_cast,numpy.can_cast,https://numpy.org/doc/stable/reference/generated/numpy.can_cast.html,arkouda.array_api._data_type_functions.can_cast,array_api._data_type_functions.can_cast,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._data_type_functions.can_cast,True
454,803,cbrt,,,,cbrt,numpy.cbrt,https://numpy.org/doc/stable/reference/generated/numpy.cbrt.html,,,,False
455,804,cdouble,,,,cdouble,numpy.cdouble,https://numpy.org/doc/stable/reference/generated/numpy.cdouble.html,,,,False
456,805,cfloat,,,,cfloat,numpy.cfloat,https://numpy.org/doc/stable/reference/generated/numpy.cfloat.html,,,,False
457,806,char.capitalize,,,,capitalize,numpy.char.capitalize,https://numpy.org/doc/stable/reference/generated/numpy.char.capitalize.html,,,,False
458,807,char.center,,,,center,numpy.char.center,https://numpy.org/doc/stable/reference/generated/numpy.char.center.html,,,,False
459,808,char.chararray,,,,chararray,numpy.char.chararray,https://numpy.org/doc/stable/reference/generated/numpy.char.chararray.html,,,,False
460,809,char.compare_chararrays,,,,compare_chararrays,numpy.char.compare_chararrays,https://numpy.org/doc/stable/reference/generated/numpy.char.compare_chararrays.html,,,,False
461,810,char.count,,,,count,numpy.char.count,https://numpy.org/doc/stable/reference/generated/numpy.char.count.html,arkouda.groupbyclass.GroupBy.count,groupbyclass.GroupBy.count,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.groupbyclass.GroupBy.count,True
462,811,ma.count,,,,count,numpy.ma.count,https://numpy.org/doc/stable/reference/generated/numpy.ma.count.html,arkouda.groupbyclass.GroupBy.count,groupbyclass.GroupBy.count,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.groupbyclass.GroupBy.count,True
463,812,ma.MaskedArray.count,,,,count,numpy.ma.MaskedArray.count,https://numpy.org/doc/stable/reference/generated/numpy.ma.MaskedArray.count.html,arkouda.groupbyclass.GroupBy.count,groupbyclass.GroupBy.count,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.groupbyclass.GroupBy.count,True
464,813,char.decode,,,,decode,numpy.char.decode,https://numpy.org/doc/stable/reference/generated/numpy.char.decode.html,,,,False
465,814,char.encode,,,,encode,numpy.char.encode,https://numpy.org/doc/stable/reference/generated/numpy.char.encode.html,,,,False
466,815,char.endswith,,,,endswith,numpy.char.endswith,https://numpy.org/doc/stable/reference/generated/numpy.char.endswith.html,arkouda.categorical.Categorical.endswith,categorical.Categorical.endswith,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.categorical.Categorical.endswith,True
467,816,char.endswith,,,,endswith,numpy.char.endswith,https://numpy.org/doc/stable/reference/generated/numpy.char.endswith.html,arkouda.strings.Strings.endswith,strings.Strings.endswith,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.endswith,True
468,817,char.equal,,,,equal,numpy.char.equal,https://numpy.org/doc/stable/reference/generated/numpy.char.equal.html,arkouda.array_api._elementwise_functions.equal,array_api._elementwise_functions.equal,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.equal,True
469,818,char.expandtabs,,,,expandtabs,numpy.char.expandtabs,https://numpy.org/doc/stable/reference/generated/numpy.char.expandtabs.html,,,,False
470,819,char.find,,,,find,numpy.char.find,https://numpy.org/doc/stable/reference/generated/numpy.char.find.html,arkouda.alignment.find,alignment.find,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.alignment.find,True
471,820,char.greater,,,,greater,numpy.char.greater,https://numpy.org/doc/stable/reference/generated/numpy.char.greater.html,arkouda.array_api._elementwise_functions.greater,array_api._elementwise_functions.greater,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.greater,True
472,821,char.greater_equal,,,,greater_equal,numpy.char.greater_equal,https://numpy.org/doc/stable/reference/generated/numpy.char.greater_equal.html,arkouda.array_api._elementwise_functions.greater_equal,array_api._elementwise_functions.greater_equal,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.greater_equal,True
473,822,greater_equal,,,,greater_equal,numpy.greater_equal,https://numpy.org/doc/stable/reference/generated/numpy.greater_equal.html,arkouda.array_api._elementwise_functions.greater_equal,array_api._elementwise_functions.greater_equal,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.greater_equal,True
474,823,char.index,,,,index,numpy.char.index,https://numpy.org/doc/stable/reference/generated/numpy.char.index.html,arkouda.index,index,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.index,True
475,824,char.isalnum,,,,isalnum,numpy.char.isalnum,https://numpy.org/doc/stable/reference/generated/numpy.char.isalnum.html,arkouda.strings.Strings.isalnum,strings.Strings.isalnum,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.isalnum,True
476,825,char.isalpha,,,,isalpha,numpy.char.isalpha,https://numpy.org/doc/stable/reference/generated/numpy.char.isalpha.html,,,,False
477,826,char.isdecimal,,,,isdecimal,numpy.char.isdecimal,https://numpy.org/doc/stable/reference/generated/numpy.char.isdecimal.html,,,,False
478,827,char.isdigit,,,,isdigit,numpy.char.isdigit,https://numpy.org/doc/stable/reference/generated/numpy.char.isdigit.html,,,,False
479,828,char.islower,,,,islower,numpy.char.islower,https://numpy.org/doc/stable/reference/generated/numpy.char.islower.html,arkouda.strings.Strings.islower,strings.Strings.islower,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.islower,True
480,829,char.isnumeric,,,,isnumeric,numpy.char.isnumeric,https://numpy.org/doc/stable/reference/generated/numpy.char.isnumeric.html,,,,False
481,830,char.isspace,,,,isspace,numpy.char.isspace,https://numpy.org/doc/stable/reference/generated/numpy.char.isspace.html,,,,False
482,831,char.istitle,,,,istitle,numpy.char.istitle,https://numpy.org/doc/stable/reference/generated/numpy.char.istitle.html,arkouda.strings.Strings.istitle,strings.Strings.istitle,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.istitle,True
483,832,char.isupper,,,,isupper,numpy.char.isupper,https://numpy.org/doc/stable/reference/generated/numpy.char.isupper.html,arkouda.strings.Strings.isupper,strings.Strings.isupper,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.isupper,True
484,833,char.join,,,,join,numpy.char.join,https://numpy.org/doc/stable/reference/generated/numpy.char.join.html,arkouda.join,join,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.join,True
485,834,char.less,,,,less,numpy.char.less,https://numpy.org/doc/stable/reference/generated/numpy.char.less.html,arkouda.array_api._elementwise_functions.less,array_api._elementwise_functions.less,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.less,True
486,835,char.less_equal,,,,less_equal,numpy.char.less_equal,https://numpy.org/doc/stable/reference/generated/numpy.char.less_equal.html,arkouda.array_api._elementwise_functions.less_equal,array_api._elementwise_functions.less_equal,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.less_equal,True
487,836,char.ljust,,,,ljust,numpy.char.ljust,https://numpy.org/doc/stable/reference/generated/numpy.char.ljust.html,,,,False
488,837,char.lower,,,,lower,numpy.char.lower,https://numpy.org/doc/stable/reference/generated/numpy.char.lower.html,arkouda.strings.Strings.lower,strings.Strings.lower,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.lower,True
489,838,char.lstrip,,,,lstrip,numpy.char.lstrip,https://numpy.org/doc/stable/reference/generated/numpy.char.lstrip.html,,,,False
490,839,char.mod,,,,mod,numpy.char.mod,https://numpy.org/doc/stable/reference/generated/numpy.char.mod.html,arkouda.pdarrayclass.mod,pdarrayclass.mod,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.mod,True
491,840,char.multiply,,,,multiply,numpy.char.multiply,https://numpy.org/doc/stable/reference/generated/numpy.char.multiply.html,arkouda.array_api._elementwise_functions.multiply,array_api._elementwise_functions.multiply,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.multiply,True
492,841,char.not_equal,,,,not_equal,numpy.char.not_equal,https://numpy.org/doc/stable/reference/generated/numpy.char.not_equal.html,arkouda.array_api._elementwise_functions.not_equal,array_api._elementwise_functions.not_equal,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.not_equal,True
493,842,not_equal,,,,not_equal,numpy.not_equal,https://numpy.org/doc/stable/reference/generated/numpy.not_equal.html,arkouda.array_api._elementwise_functions.not_equal,array_api._elementwise_functions.not_equal,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.not_equal,True
