,index,ak,function,function_name,arkouda_api_link
110,427,arkouda.pdarrayclass.fmod,pdarrayclass.fmod,fmod,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.fmod
111,428,arkouda.pdarrayclass.is_sorted,pdarrayclass.is_sorted,is_sorted,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.is_sorted
112,429,arkouda.pdarrayclass.max,pdarrayclass.max,max,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.max
113,430,arkouda.pdarrayclass.maxk,pdarrayclass.maxk,maxk,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.maxk
114,431,arkouda.pdarrayclass.mean,pdarrayclass.mean,mean,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.mean
115,432,arkouda.pdarrayclass.min,pdarrayclass.min,min,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.min
116,433,arkouda.pdarrayclass.mink,pdarrayclass.mink,mink,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.mink
117,434,arkouda.pdarrayclass.mod,pdarrayclass.mod,mod,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.mod
118,435,arkouda.pdarrayclass.parity,pdarrayclass.parity,parity,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.parity
119,436,arkouda.pdarrayclass.popcount,pdarrayclass.popcount,popcount,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.popcount
120,437,arkouda.pdarrayclass.power,pdarrayclass.power,power,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.power
121,438,arkouda.pdarrayclass.prod,pdarrayclass.prod,prod,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.prod
122,439,arkouda.pdarrayclass.rotl,pdarrayclass.rotl,rotl,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.rotl
123,440,arkouda.pdarrayclass.rotr,pdarrayclass.rotr,rotr,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.rotr
124,441,arkouda.pdarrayclass.sqrt,pdarrayclass.sqrt,sqrt,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.sqrt
125,442,arkouda.pdarrayclass.std,pdarrayclass.std,std,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.std
126,443,arkouda.pdarrayclass.sum,pdarrayclass.sum,sum,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.sum
127,444,arkouda.pdarrayclass.unregister_pdarray_by_name,pdarrayclass.unregister_pdarray_by_name,unregister_pdarray_by_name,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.unregister_pdarray_by_name
128,445,arkouda.pdarrayclass.var,pdarrayclass.var,var,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.var
129,532,arkouda.pdarrayclass.pdarray.register,pdarrayclass.pdarray.register,register,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.pdarray.register
130,533,arkouda.pdarrayclass.pdarray.unregister,pdarrayclass.pdarray.unregister,unregister,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.pdarray.unregister
131,534,arkouda.pdarrayclass.pdarray.is_registered,pdarrayclass.pdarray.is_registered,is_registered,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.pdarray.is_registered
132,551,arkouda.pdarrayclass.RegistrationError,pdarrayclass.RegistrationError,RegistrationError,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.RegistrationError
133,552,arkouda.pdarrayclass.pdarray.attach,pdarrayclass.pdarray.attach,attach,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.pdarray.attach
134,560,arkouda.pdarrayclass.pdarray.to_parquet,pdarrayclass.pdarray.to_parquet,to_parquet,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.pdarray.to_parquet
135,561,arkouda.pdarrayclass.pdarray.to_hdf,pdarrayclass.pdarray.to_hdf,to_hdf,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.pdarray.to_hdf
136,564,arkouda.pdarrayclass.pdarray.to_ndarray,pdarrayclass.pdarray.to_ndarray,to_ndarray,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.pdarray.to_ndarray
137,565,arkouda.pdarrayclass.pdarray.to_list,pdarrayclass.pdarray.to_list,to_list,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.pdarray.to_list
138,608,arkouda.strings,strings,strings,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings
139,614,arkouda.strings.Strings.register,strings.Strings.register,register,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.register
140,615,arkouda.strings.Strings.unregister,strings.Strings.unregister,unregister,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.unregister
141,618,arkouda.strings.Strings.lower,strings.Strings.lower,lower,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.lower
142,621,arkouda.strings.Strings.startswith,strings.Strings.startswith,startswith,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.startswith
143,622,arkouda.strings.Strings.endswith,strings.Strings.endswith,endswith,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.endswith
144,627,arkouda.strings.Strings.contains,strings.Strings.contains,contains,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.contains
145,632,arkouda.strings.Strings.findall,strings.Strings.findall,findall,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.findall
146,633,arkouda.strings.Strings.match,strings.Strings.match,match,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.match
147,635,arkouda.strings.Strings.find_locations,strings.Strings.find_locations,find_locations,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.find_locations
148,637,arkouda.strings.Strings.peel,strings.Strings.peel,peel,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.peel
149,638,arkouda.strings.Strings.rpeel,strings.Strings.rpeel,rpeel,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.rpeel
150,647,arkouda.match.Match,match.Match,Match,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.match.Match
151,667,arkouda.strings.Strings.islower,strings.Strings.islower,islower,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.islower
152,668,arkouda.strings.Strings.isupper,strings.Strings.isupper,isupper,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.isupper
153,669,arkouda.strings.Strings.istitle,strings.Strings.istitle,istitle,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.istitle
154,675,arkouda.strings.Strings.isalnum,strings.Strings.isalnum,isalnum,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.isalnum
155,699,arkouda.strings.Strings.upper,strings.Strings.upper,upper,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.upper
156,704,arkouda.strings.Strings.stick,strings.Strings.stick,stick,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.stick
157,713,arkouda.strings.Strings.lstick,strings.Strings.lstick,lstick,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.lstick
158,717,arkouda.strings.Strings.attach,strings.Strings.attach,attach,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.attach
159,742,arkouda.strings.Strings.subn,strings.Strings.subn,subn,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.subn
160,743,arkouda.strings.Strings.sub,strings.Strings.sub,sub,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.sub
161,747,arkouda.strings.Strings.to_hdf,strings.Strings.to_hdf,to_hdf,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.strings.Strings.to_hdf
