,index,function_np,total_np_calls,num_scipy_funs_used_by,used_by_scipy,function_name,np,numpy_api_link,ak,function_ak,arkouda_api_link,partial_ak_coverage
71,420,atleast_1d,113.0,82.0,True,atleast_1d,numpy.atleast_1d,https://numpy.org/doc/stable/reference/generated/numpy.atleast_1d.html,,,,False
72,421,complex128,119.0,80.0,True,complex128,numpy.complex128,https://numpy.org/doc/stable/reference/generated/numpy.complex128.html,arkouda.dtypes.complex128,dtypes.complex128,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.dtypes.complex128,True
73,422,int32,147.0,79.0,True,int32,numpy.int32,https://numpy.org/doc/stable/reference/generated/numpy.int32.html,arkouda.dtypes.int32,dtypes.int32,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.dtypes.int32,True
74,423,complex64,134.0,79.0,True,complex64,numpy.complex64,https://numpy.org/doc/stable/reference/generated/numpy.complex64.html,arkouda.dtypes.complex64,dtypes.complex64,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.dtypes.complex64,True
75,424,log10,104.0,75.0,True,log10,numpy.log10,https://numpy.org/doc/stable/reference/generated/numpy.log10.html,arkouda.numeric.log10,numeric.log10,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.log10,True
76,425,log10,104.0,75.0,True,log10,numpy.log10,https://numpy.org/doc/stable/reference/generated/numpy.log10.html,arkouda.array_api._elementwise_functions.log10,array_api._elementwise_functions.log10,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._elementwise_functions.log10,True
77,426,atleast_2d,86.0,70.0,True,atleast_2d,numpy.atleast_2d,https://numpy.org/doc/stable/reference/generated/numpy.atleast_2d.html,,,,False
78,427,where,119.0,66.0,True,where,numpy.where,https://numpy.org/doc/stable/reference/generated/numpy.where.html,arkouda.numeric.where,numeric.where,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.numeric.where,True
79,428,where,119.0,66.0,True,where,numpy.where,https://numpy.org/doc/stable/reference/generated/numpy.where.html,arkouda.array_api._searching_functions.where,array_api._searching_functions.where,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.array_api._searching_functions.where,True
80,429,prod,88.0,65.0,True,prod,numpy.prod,https://numpy.org/doc/stable/reference/generated/numpy.prod.html,arkouda.pdarrayclass.prod,pdarrayclass.prod,file:///home/amandapotts/git/arkouda/docs/autoapi/arkouda/alignment/index.html#arkouda.pdarrayclass.prod,True
